"Id","Year","Score","Title"
1,1968,86,"Greetings"
2,1970,17,"BloodyMama"
3,1970,73,"Hi,Mom!"
4,1971,40,"BorntoWin"
5,1973,98,"MeanStreets"
6,1973,88,"BangtheDrumSlowly"
7,1974,97,"TheGodfather,PartII"
8,1976,41,"TheLastTycoon"
9,1976,99,"TaxiDriver"
10,1977,47,"1900"
11,1977,67,"NewYork,NewYork"
12,1978,93,"TheDeerHunter"
13,1980,97,"RagingBull"
14,1981,75,"TrueConfessions"
15,1983,90,"TheKingofComedy"
16,1984,89,"OnceUponaTimeinAmerica"
17,1984,60,"FallinginLove"
18,1985,98,"Brazil"
19,1986,65,"TheMission"
20,1987,100,"DearAmerica:LettersHomeFromVietnam"
21,1987,80,"TheUntouchables"
22,1987,78,"AngelHeart"
23,1988,96,"MidnightRun"
24,1989,64,"Jacknife"
25,1989,47,"We'reNoAngels"
26,1990,88,"Awakenings"
27,1990,29,"Stanley&Iris"
28,1990,96,"Goodfellas"
29,1991,76,"CapeFear"
30,1991,69,"Mistress"
31,1991,65,"GuiltybySuspicion"
32,1991,71,"Backdraft"
33,1992,87,"Thunderheart"
34,1992,67,"NightandtheCity"
35,1993,75,"ThisBoy'sLife"
36,1993,78,"MadDogandGlory"
37,1993,96,"ABronxTale"
38,1994,39,"MaryShelley'sFrankenstein"
39,1995,80,"Casino"
40,1995,86,"Heat"
41,1996,74,"Sleepers"
42,1996,38,"TheFan"
43,1996,80,"Marvin'sRoom"
44,1997,85,"WagtheDog"
45,1997,87,"JackieBrown"
46,1997,72,"CopLand"
47,1998,68,"Ronin"
48,1998,38,"GreatExpectations"
49,1999,69,"AnalyzeThis"
50,1999,43,"Flawless"
51,2000,43,"TheAdventuresofRocky&Bullwinkle"
52,2000,84,"MeettheParents"
53,2000,41,"MenofHonor"
54,2001,73,"TheScore"
55,2001,33,"15Minutes"
56,2002,48,"CitybytheSea"
57,2002,27,"AnalyzeThat"
58,2003,4,"Godsend"
59,2004,35,"SharkTale"
60,2004,38,"MeettheFockers"
61,2005,4,"TheBridgeofSanLuisRey"
62,2005,46,"Rent"
63,2005,13,"HideandSeek"
64,2006,54,"TheGoodShepherd"
65,2007,21,"ArthurandtheInvisibles"
66,2007,76,"CaptainShakespeare"
67,2008,19,"RighteousKill"
68,2008,51,"WhatJustHappened?"
69,2009,46,"Everybody'sFine"
70,2010,72,"Machete"
71,2010,10,"LittleFockers"
72,2010,50,"Stone"
73,2011,25,"KillerElite"
74,2011,7,"NewYear'sEve"
75,2011,70,"Limitless"
76,2012,92,"SilverLiningsPlaybook"
77,2012,51,"BeingFlynn"
78,2012,29,"RedLights"
79,2013,46,"LastVegas"
80,2013,7,"TheBigWedding"
81,2013,29,"GrudgeMatch"
82,2013,11,"KillingSeason"
83,2014,9,"TheBagMan"
84,2015,60,"Joy"
85,2015,26,"Heist"
86,2015,61,"TheIntern"
87,2016,11,"DirtyGrandpa"

